"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4744","should redirect to home page after successful login","chromium","2026-04-24","passed","2026-04-24","Login - Positive Scenarios","login.spec.ts","",""
"","6730","should show error for non-existent email","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
"","6653","should show validation error for empty password","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
"","6712","should show validation error for empty email","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
"","6713","should show error for wrong password","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
"","4576","should login successfully with valid credentials","chromium","2026-04-24","passed","2026-04-24","Login - Positive Scenarios","login.spec.ts","",""
"","2904","should show error for SQL injection attempt in email","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
"","2927","should show error for invalid email format","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
"","4770","should display account email in header after login","chromium","2026-04-24","passed","2026-04-24","Login - Positive Scenarios","login.spec.ts","",""
"","3246","should show validation error for both fields empty","chromium","2026-04-24","passed","2026-04-24","Login - Negative Scenarios","login.spec.ts","",""
